 
Air 	air 	Minecraft Air
Any Spawn Egg 	#forge:eggs 	Minecraft Any Spawn Egg
Spawn Creeper 	creeper_spawn_egg 	Minecraft Spawn Creeper
Spawn Skeleton 	skeleton_spawn_egg 	Minecraft Spawn Skeleton
Spawn Spider 	spider_spawn_egg 	Minecraft Spawn Spider
Spawn Zombie 	zombie_spawn_egg 	Minecraft Spawn Zombie
Spawn Slime 	slime_spawn_egg 	Minecraft Spawn Slime
Spawn Ghast 	ghast_spawn_egg 	Minecraft Spawn Ghast
Zombified Piglin Spawn Egg 	zombified_piglin_spawn_egg 	Minecraft Zombified Piglin Spawn Egg
Spawn Endermen 	enderman_spawn_egg 	Minecraft Spawn Endermen
Spawn Cave Spider 	cave_spider_spawn_egg 	Minecraft Spawn Cave Spider
Spawn Silverfish 	silverfish_spawn_egg 	Minecraft Spawn Silverfish
Spawn Blaze 	blaze_spawn_egg 	Minecraft Spawn Blaze
Spawn Magma Cube 	magma_cube_spawn_egg 	Minecraft Spawn Magma Cube
Spawn Bat 	bat_spawn_egg 	Minecraft Spawn Bat
Spawn Witch 	witch_spawn_egg 	Minecraft Spawn Witch
Spawn Endermite 	endermite_spawn_egg 	Minecraft Spawn Endermite
Spawn Guardian 	guardian_spawn_egg 	Minecraft Spawn Guardian
Spawn Pig 	pig_spawn_egg 	Minecraft Spawn Pig
Spawn Sheep 	sheep_spawn_egg 	Minecraft Spawn Sheep
Spawn Cow 	cow_spawn_egg 	Minecraft Spawn Cow
Spawn Chicken 	chicken_spawn_egg 	Minecraft Spawn Chicken
Spawn Squid 	squid_spawn_egg 	Minecraft Spawn Squid
Spawn Wolf 	wolf_spawn_egg 	Minecraft Spawn Wolf
Spawn Mooshroom 	mooshroom_spawn_egg 	Minecraft Spawn Mooshroom
Spawn Ocelot 	ocelot_spawn_egg 	Minecraft Spawn Ocelot
Spawn Horse 	horse_spawn_egg 	Minecraft Spawn Horse
Spawn Rabbit 	rabbit_spawn_egg 	Minecraft Spawn Rabbit
Spawn Villager 	villager_spawn_egg 	Minecraft Spawn Villager
Bee Spawn Egg 	bee_spawn_egg 	Minecraft Bee Spawn Egg
Cat Spawn Egg 	cat_spawn_egg 	Minecraft Cat Spawn Egg
Cod Spawn Egg 	cod_spawn_egg 	Minecraft Cod Spawn Egg
Dolphin Spawn Egg 	dolphin_spawn_egg 	Minecraft Dolphin Spawn Egg
Donkey Spawn Egg 	donkey_spawn_egg 	Minecraft Donkey Spawn Egg
Drowned Spawn Egg 	drowned_spawn_egg 	Minecraft Drowned Spawn Egg
Elder Guardian Spawn Egg 	elder_guardian_spawn_egg 	Minecraft Elder Guardian Spawn Egg
Evoker Spawn Egg 	evoker_spawn_egg 	Minecraft Evoker Spawn Egg
Fox Spawn Egg 	fox_spawn_egg 	Minecraft Fox Spawn Egg
Husk Spawn Egg 	husk_spawn_egg 	Minecraft Husk Spawn Egg
Llama Spawn Egg 	llama_spawn_egg 	Minecraft Llama Spawn Egg
Mule Spawn Egg 	mule_spawn_egg 	Minecraft Mule Spawn Egg
Panda Spawn Egg 	panda_spawn_egg 	Minecraft Panda Spawn Egg
Parrot Spawn Egg 	parrot_spawn_egg 	Minecraft Parrot Spawn Egg
Phantom Spawn Egg 	phantom_spawn_egg 	Minecraft Phantom Spawn Egg
Pillager Spawn Egg 	pillager_spawn_egg 	Minecraft Pillager Spawn Egg
Polar Bear Spawn Egg 	polar_bear_spawn_egg 	Minecraft Polar Bear Spawn Egg
Pufferfish Spawn Egg 	pufferfish_spawn_egg 	Minecraft Pufferfish Spawn Egg
Ravager Spawn Egg 	ravager_spawn_egg 	Minecraft Ravager Spawn Egg
Salmon Spawn Egg 	salmon_spawn_egg 	Minecraft Salmon Spawn Egg
Shulker Spawn Egg 	shulker_spawn_egg 	Minecraft Shulker Spawn Egg
Skeleton Horse Spawn Egg 	skeleton_horse_spawn_egg 	Minecraft Skeleton Horse Spawn Egg
Stray Spawn Egg 	stray_spawn_egg 	Minecraft Stray Spawn Egg
Trader Llama Spawn Egg 	trader_llama_spawn_egg 	Minecraft Trader Llama Spawn Egg
Tropical Fish Spawn Egg 	tropical_fish_spawn_egg 	Minecraft Tropical Fish Spawn Egg
Turtle Spawn Egg 	turtle_spawn_egg 	Minecraft Turtle Spawn Egg
Vex Spawn Egg 	vex_spawn_egg 	Minecraft Vex Spawn Egg
Vindicator Spawn Egg 	vindicator_spawn_egg 	Minecraft Vindicator Spawn Egg
Wandering Trader Spawn Egg 	wandering_trader_spawn_egg 	Minecraft Wandering Trader Spawn Egg
Wither Skeleton Spawn Egg 	wither_skeleton_spawn_egg 	Minecraft Wither Skeleton Spawn Egg
Zombie Horse Spawn Egg 	zombie_horse_spawn_egg 	Minecraft Zombie Horse Spawn Egg
Zombie Villager Spawn Egg 	zombie_villager_spawn_egg 	Minecraft Zombie Villager Spawn Egg
Hoglin Spawn Egg 	hoglin_spawn_egg 	Minecraft Hoglin Spawn Egg
Piglin Spawn Egg 	piglin_spawn_egg 	Minecraft Piglin Spawn Egg
Piglin Brute Spawn Egg 	piglin_brute_spawn_egg 	Minecraft Piglin Brute Spawn Egg
Strider Spawn Egg 	strider_spawn_egg 	Minecraft Strider Spawn Egg
Zoglin Spawn Egg 	zoglin_spawn_egg 	Minecraft Zoglin Spawn Egg
Axolotl Spawn Egg 	axolotl_spawn_egg 	Minecraft Axolotl Spawn Egg
Allay Spawn Egg 	allay_spawn_egg 	Minecraft Allay Spawn Egg
Frog Spawn Egg 	frog_spawn_egg 	Minecraft Frog Spawn Egg
Tadpole Spawn Egg 	tadpole_spawn_egg 	Minecraft Tadpole Spawn Egg
Warden Spawn Egg 	warden_spawn_egg 	Minecraft Warden Spawn Egg
Goat Spawn Egg 	goat_spawn_egg 	Minecraft Goat Spawn Egg
Glow Squid Spawn Egg 	glow_squid_spawn_egg 	Minecraft Glow Squid Spawn Egg
Bottle o' Enchanting 	experience_bottle 	Minecraft Bottle o
Fire charge 	fire_charge 	Minecraft Fire charge
Snowball 	snowball 	Minecraft Snowball
Book 	book 	Minecraft Book
Writable Book 	writable_book 	Minecraft Writable Book
Written Book 	written_book 	Minecraft Written Book
Enchanted Book 	enchanted_book 	Minecraft Enchanted Book
Knowledge Book 	knowledge_book 	Minecraft Knowledge Book
Music Disc 	music_disc_13 	Minecraft Music Disc
Music Disc 	music_disc_cat 	Minecraft Music Disc
Music Disc 	music_disc_blocks 	Minecraft Music Disc
Music Disc 	music_disc_chirp 	Minecraft Music Disc
Music Disc 	music_disc_far 	Minecraft Music Disc
Music Disc 	music_disc_mall 	Minecraft Music Disc
Music Disc 	music_disc_mellohi 	Minecraft Music Disc
Music Disc 	music_disc_stal 	Minecraft Music Disc
Music Disc 	music_disc_strad 	Minecraft Music Disc
Music Disc 	music_disc_ward 	Minecraft Music Disc
Music Disc 	music_disc_11 	Minecraft Music Disc
Music Disc 	music_disc_wait 	Minecraft Music Disc
Music Disc 	music_disc_otherside 	Minecraft Music Disc
Music Disc 	music_disc_5 	Minecraft Music Disc
Music Disc 	music_disc_pigstep 	Minecraft Music Disc
Disc Fragment 5 	disc_fragment_5 	Minecraft Disc Fragment 5
Any Skull 	#forge:heads 	Minecraft Any Skull
Skeleton Skull 	skeleton_skull 	Minecraft Skeleton Skull
Wither Skeleton Skull 	wither_skeleton_skull 	Minecraft Wither Skeleton Skull
Zombie Head 	player_head 	Minecraft Zombie Head
Head 	zombie_head 	Minecraft Head
Creeper Head 	creeper_head 	Minecraft Creeper Head
Dragon Head 	dragon_head 	Minecraft Dragon Head
Firework Charge 	firework_star 	Minecraft Firework Charge
Fireworks 	firework_rocket 	Minecraft Fireworks
Honeycomb 	honeycomb 	Minecraft Honeycomb
Honey Bottle 	honey_bottle 	Minecraft Honey Bottle
Goat Horn 	goat_horn 	Minecraft Goat Horn
Echo Shard 	echo_shard 	BlaBla
